EID,FORTARGET,PROB
439664,0,0.2332727164030075
82597,0,0.05579477548599243
305745,0,0.06488017737865448
47714,0,0.03358285874128342
217636,0,0.33204227685928345
103692,0,0.1493217498064041
123206,0,0.17458027601242065
75780,0,0.24647624790668488
345321,0,0.12861593067646027
345465,0,0.13135845959186554
127711,0,0.0698138177394867
257983,0,0.12203855067491531
77371,0,0.18338659405708313
83408,0,0.17201566696166992
370091,1,0.43413493037223816
324868,0,0.1583181619644165
327256,0,0.3415183424949646
197199,0,0.26286780834198
323310,0,0.18268097937107086
32009,0,0.14319564402103424
154610,0,0.20792719721794128
397779,0,0.00895856972783804
68475,0,0.12062251567840576
386002,0,0.2006188929080963
205922,0,0.012755193747580051
258350,1,0.5782752633094788
496502,0,0.28758159279823303
458475,0,0.2000933438539505
290796,1,0.40551480650901794
119885,0,0.14989563822746277
152817,0,0.18679329752922058
197155,0,0.19498498737812042
418677,0,0.22559311985969543
70271,0,0.21920698881149292
372610,0,0.1738281548023224
106101,0,0.04059945419430733
180857,0,0.17656804621219635
156717,0,0.09726281464099884
490984,0,0.06325145810842514
128254,0,0.10833006352186203
241927,0,0.214031383395195
86381,0,0.16498501598834991
240773,0,0.3110194802284241
248697,0,0.026108473539352417
58233,0,0.18325382471084595
314655,0,0.12313652783632278
5883,0,0.1548999398946762
79963,0,0.15384523570537567
28100,0,0.11857225745916367
432435,0,0.37854278087615967
213465,0,0.14544588327407837
448888,0,0.14743918180465698
337782,0,0.2227271944284439
436129,0,0.19526931643486023
441242,0,0.014551461674273014
211757,0,0.29240351915359497
17958,0,0.06012126803398132
96223,0,0.013526319526135921
514755,0,0.149667888879776
124026,0,0.22476154565811157
490612,0,0.1695030778646469
349327,0,0.16378937661647797
511158,0,0.2749379873275757
485836,0,0.12174761295318604
173992,0,0.2167058289051056
242838,0,0.23475228250026703
425184,0,0.11346235871315002
176237,0,0.1460256725549698
95142,0,0.08371731638908386
202703,0,0.03627369552850723
261063,0,0.024164659902453423
154778,0,0.11083752661943436
164055,0,0.19020062685012817
6784,0,0.10400012135505676
319326,0,0.07748512923717499
72724,0,0.007952867075800896
2790,0,0.16192683577537537
275162,0,0.147913858294487
223084,0,0.04487909376621246
143497,0,0.10658187419176102
489432,0,0.09800759702920914
503503,0,0.025542357936501503
481137,0,0.1086997240781784
68039,0,0.018893033266067505
195578,1,0.5472115874290466
52026,0,0.167664036154747
508988,0,0.020448649302124977
455053,0,0.198736310005188
177974,1,0.6389408707618713
41335,0,0.13595642149448395
191404,0,0.2499576210975647
97121,0,0.2491922378540039
475469,1,0.45657452940940857
231646,0,0.210493266582489
211918,0,0.06888816505670547
133468,1,0.47160664200782776
405335,0,0.27580317854881287
772,0,0.07792915403842926
466869,0,0.023835167288780212
392911,0,0.12927325069904327
89841,0,0.10925792157649994
442624,0,0.23264749348163605
39575,0,0.06240035220980644
198377,0,0.22829699516296387
323988,0,0.14052824676036835
58055,0,0.26546454429626465
489861,0,0.2657833695411682
311657,0,0.2948589622974396
265827,0,0.1785760521888733
410983,0,0.1772087812423706
457543,0,0.11756493151187897
249911,0,0.2072296291589737
398580,0,0.08349619805812836
271702,0,0.0759955495595932
323367,0,0.031667087227106094
368848,1,0.4248863756656647
196923,0,0.007752022240310907
488720,0,0.09816329181194305
116877,0,0.054564543068408966
60759,0,0.14913351833820343
522796,0,0.23764699697494507
196132,0,0.3697962760925293
481635,0,0.19040806591510773
518565,0,0.16860130429267883
245758,0,0.26246050000190735
73630,0,0.33255335688591003
334804,0,0.21336111426353455
126643,0,0.03489775210618973
373286,0,0.334875226020813
312206,0,0.17135381698608398
478033,0,0.09379220753908157
77012,0,0.07243313640356064
92085,0,0.32756930589675903
86435,0,0.061138179153203964
111619,0,0.3030959665775299
151430,0,0.2745266854763031
50261,0,0.09033810347318649
404412,0,0.2029852569103241
479273,0,0.11931412667036057
509987,0,0.0458596907556057
503876,0,0.2457577884197235
364772,0,0.2501082420349121
69753,0,0.20727184414863586
293059,0,0.25066691637039185
289781,0,0.2378378063440323
366375,0,0.11524925380945206
134277,0,0.13333623111248016
107926,0,0.2566295564174652
457072,0,0.06498877704143524
414695,0,0.30111053586006165
495334,0,0.198766827583313
55655,0,0.09490139782428741
391253,0,0.32315772771835327
89447,0,0.19726797938346863
255080,0,0.1691259741783142
367775,0,0.18668195605278015
320833,0,0.20998604595661163
383436,0,0.17639145255088806
433196,0,0.10512936115264893
289564,0,0.07495822012424469
484268,0,0.246319979429245
216450,0,0.016961155459284782
62679,0,0.06939356029033661
55275,0,0.06578505039215088
240158,1,0.43413493037223816
188498,0,0.14253701269626617
77925,0,0.1433127224445343
501690,0,0.19147257506847382
139852,0,0.1373397409915924
305475,0,0.18872074782848358
179913,0,0.06966238468885422
265031,0,0.16063281893730164
450841,0,0.07770323008298874
378813,0,0.2506794035434723
128108,0,0.0707441121339798
423826,0,0.18425564467906952
312560,0,0.30500808358192444
92598,0,0.2142898142337799
31117,0,0.14837326109409332
162855,0,0.19593386352062225
329537,0,0.18845081329345703
428321,0,0.057248763740062714
66685,0,0.27448734641075134
410313,0,0.20036178827285767
386721,0,0.1292094737291336
392641,1,0.474355012178421
146397,0,0.1591484248638153
345469,0,0.14519982039928436
53546,0,0.1877722293138504
418068,0,0.22022506594657898
365385,0,0.33218488097190857
155342,0,0.11065459251403809
310621,0,0.13915741443634033
124369,0,0.11296291649341583
362635,0,0.19929654896259308
53398,0,0.1662549078464508
78222,0,0.11569970101118088
343522,1,0.45086026191711426
319342,0,0.13143062591552734
332399,0,0.05449442192912102
265727,0,0.20062552392482758
170675,0,0.20628082752227783
107423,0,0.21554447710514069
145846,0,0.345538467168808
99117,0,0.032657235860824585
324799,0,0.08346318453550339
256753,0,0.1674557477235794
463457,0,0.08698112517595291
158186,0,0.010128365829586983
347326,0,0.04544134438037872
243888,0,0.18901793658733368
491889,0,0.19254173338413239
223057,0,0.2819620668888092
98609,0,0.23396429419517517
481524,0,0.1716463416814804
104732,0,0.22845056653022766
142901,0,0.09835618734359741
160267,0,0.2222144454717636
508414,0,0.03659524768590927
61976,0,0.222130686044693
100336,0,0.21190401911735535
167751,0,0.23969916999340057
100658,0,0.16584733128547668
431350,0,0.2518322765827179
220894,0,0.2051411271095276
494446,1,0.44042447209358215
343546,0,0.28384360671043396
456888,0,0.2270665317773819
4349,0,0.3573201596736908
465485,0,0.24563729763031006
517841,0,0.1547366827726364
151179,0,0.3870339095592499
503479,0,0.2204178124666214
67378,0,0.31448179483413696
38690,1,0.47478437423706055
144962,0,0.12137484550476074
274734,0,0.16730836033821106
500629,0,0.014223214238882065
170869,0,0.29464593529701233
191847,0,0.22798679769039154
350139,0,0.15417234599590302
347138,0,0.11148867011070251
8772,0,0.12943778932094574
404543,0,0.15742994844913483
494018,0,0.1326179802417755
57721,0,0.3243085443973541
449581,0,0.19596846401691437
108222,0,0.3455307185649872
109449,0,0.20952409505844116
74537,0,0.07049579918384552
52632,0,0.17685078084468842
204267,0,0.26006031036376953
521033,1,0.495294451713562
264287,0,0.1760173887014389
520893,0,0.03408714756369591
187035,0,0.16554127633571625
123608,0,0.2164415568113327
149411,0,0.15367312729358673
54608,0,0.08927340805530548
303952,0,0.03813749924302101
352920,0,0.1662992238998413
140134,0,0.04408657178282738
160702,0,0.21485862135887146
358522,0,0.1617286652326584
341836,0,0.07273240387439728
109973,0,0.1069931611418724
149398,0,0.3171646296977997
292681,0,0.19077548384666443
345598,0,0.20960171520709991
105587,0,0.03089972585439682
215942,1,0.5472859740257263
